state_abbr,year,fatalities,resident_pop_thousands,licensed_drivers_thousands,registered_vehicles_thousands,vehicle_miles_billions
AK,1994,85,601.0,436.0,546.0,4.0
AK,1995,87,601.0,434.0,555.0,4.0
AK,1996,81,605.0,440.0,552.0,4.0
AK,1997,77,609.0,446.0,556.0,4.0
AK,1998,70,615.0,457.0,560.0,5.0
AK,1999,79,620.0,459.0,586.0,5.0
TX,2000,3779,20944.0,13462.0,14257.0,220.0
AK,2001,89,634.0,472.0,615.0,5.0
AK,2002,89,642.0,480.0,639.0,5.0
AK,2003,98,648.0,481.0,656.0,5.0
AK,2004,101,659.0,483.0,681.0,5.0
AK,2005,73,667.0,487.0,695.0,5.0
AK,2006,74,675.0,489.0,699.0,5.0
AK,2007,82,680.0,495.0,706.0,5.0
AK,2008,62,687.0,503.0,719.0,5.0
AK,2009,64,699.0,508.0,724.0,5.0
AK,2010,56,714.0,515.0,741.0,5.0
AK,2011,72,723.0,521.0,758.0,5.0
AK,2012,59,731.0,526.0,775.0,5.0
AK,2013,51,737.0,529.0,786.0,5.0
AK,2014,73,737.0,532.0,800.0,5.0
AK,2015,65,738.0,533.0,815.0,5.0
AL,1994,1083,4233.0,2861.0,3215.0,49.0
AL,1995,1114,4263.0,3456.0,3591.0,51.0
AL,1996,1146,4290.0,3138.0,3443.0,51.0
AL,1997,1192,4320.0,3387.0,3708.0,53.0
AL,1998,1071,4351.0,3434.0,3903.0,55.0
AL,1999,1138,4370.0,3446.0,4006.0,56.0
CA,2000,3753,33988.0,21244.0,28146.0,307.0
AL,2001,991,4468.0,3560.0,4290.0,57.0
AL,2002,1038,4480.0,3578.0,4490.0,58.0
AL,2003,1004,4503.0,3598.0,4400.0,59.0
AL,2004,1154,4531.0,3613.0,4589.0,59.0
AL,2005,1148,4570.0,3637.0,4638.0,60.0
AL,2006,1207,4629.0,3665.0,4734.0,61.0
AL,2007,1110,4673.0,3692.0,4789.0,61.0
AL,2008,969,4718.0,3754.0,4857.0,59.0
AL,2009,848,4758.0,3782.0,4733.0,61.0
AL,2010,862,4785.0,3806.0,4777.0,64.0
AL,2011,895,4801.0,3799.0,4812.0,65.0
AL,2012,865,4816.0,3828.0,4845.0,65.0
AL,2013,853,4831.0,3859.0,4787.0,65.0
AL,2014,820,4846.0,3882.0,5367.0,66.0
AL,2015,849,4859.0,3907.0,5400.0,67.0
AR,1994,609,2451.0,1768.0,1581.0,25.0
AR,1995,631,2480.0,1769.0,1630.0,27.0
AR,1996,615,2505.0,1752.0,1643.0,28.0
AR,1997,660,2524.0,1879.0,1648.0,28.0
AR,1998,625,2538.0,1918.0,1775.0,28.0
AR,1999,604,2551.0,1926.0,1840.0,29.0
FL,2000,2999,16048.0,12853.0,12036.0,151.0
AR,2001,611,2692.0,1962.0,1893.0,29.0
AR,2002,640,2706.0,1965.0,1907.0,30.0
AR,2003,640,2725.0,1998.0,1927.0,31.0
AR,2004,703,2750.0,1862.0,1961.0,32.0
AR,2005,654,2781.0,2024.0,1990.0,32.0
